Igbo,English
Kedụ ka Ị mere,How do you do
Ị bịala,Welcome
Nnọọ,Welcome
Adị m mma,I am fine
Aha m bụ Ijeoma,My name is Ijeoma
Abụ m onye Nigeria,I am Nigerian
Kedụ ebe i bi,Where do you live
Ebi m na Lagos,I live in Lagos
Kedụ ihe Ị na-arụ,What do you do(as work)
Kedụ ebe Ị na-aga,Where are you going?
Ana m aga ahịa,I am going to the market
Ọ dị na mgbago ugwu,It’s up the hill
Kedụ ebe m ga-azụta nri,Where can I buy food?
Kedụ ebe ụlọ nri dị,Where is the restaurant?
Ka ọ dị,Bye
Ka o mesịa,Bye
Ka chi foo,Goodnight
Daalụ,Thanks
I meela,Thanks
Daalụ rie nne,Thanks a lot
I meela nke ukwu,Thanks a lot
Ị gbalịala,Well done
Jisie ike,Keep it up
Biko nye m mmiri,Please give me water
Agụụ na-agụ m,I am hungry
Biko nọdụ ala,Please sit down
Were oche,Have a seat
Bịa rie nri,Come and eat
